yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
189004,5.39,0.22,0.2967,,,,,,,,,0.003698181020805343,0.04081632653061225,0.041666666666666664,0.05504638218923934,0.7414897202561509,,,,,,,,0.00041254761549000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189005,5.62,0.22,0.2958,,,,,,,,,0.003410388132422926,0.03914590747330961,0.04081632653061225,0.05263345195729537,0.7437457741717376,,,,,,,,0.00074820204711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189006,5.58,0.22,0.295,,,,,,,,,0.0033734916082713328,0.03942652329749104,0.03914590747330961,0.0528673835125448,0.7457627118644068,,,,,,,,0.0008752802386799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189007,5.54,0.22,0.2942,,,,,,,,,0.003329215779289423,0.039711191335740074,0.03942652329749104,0.053104693140794225,0.7477906186267844,,,,,,,,0.0004360968086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189008,5.41,0.22,0.2933,,,,,,,,,0.003366112303441015,0.04066543438077634,0.039711191335740074,0.054214417744916824,0.7500852369587453,,,,,,,,0.00195919901011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189009,5.32,0.22,0.2925,,,,,,,,,0.0037645947642782084,0.041353383458646614,0.04066543438077634,0.05498120300751879,0.7521367521367522,,,,,,,,0.00102159000374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189010,5.08,0.22,0.2917,,,,,,,,,0.0038826636415633035,0.04330708661417323,0.041353383458646614,0.05742125984251969,0.7541995200548508,,,,,,,,0.0018990477396500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189011,4.71,0.22,0.2908,,,,,,,,,0.00399335321401808,0.046709129511677286,0.04330708661417323,0.06174097664543524,0.7565337001375516,,,,,,,,0.00850158962332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189012,4.6,0.22,0.29,,,,,,,,,0.004620594124595144,0.04782608695652174,0.046709129511677286,0.06304347826086956,0.7586206896551725,,,,,,,,0.00594470978532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189101,4.84,0.22,0.2942,,,,,,,,,0.0050485938047536115,0.045454545454545456,0.04782608695652174,0.060785123966942155,0.7477906186267844,,,,,,,,0.0016956909908800001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
